Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Oh Yummy,"Pizza, Pasta, Fast Food, Beverages",500," Vikaspuri, New Delhi",4.1,314,2735,https://www.zomato.com/ncr/oh-yummy-vikaspuri-new-delhi,"Shop P-4, J-Block, Vardhman Market, Outer Ring Road, Opposite Mother Dairy, Vikaspuri, New Delhi",919319000000,28.63992863,77.08158184
Wrapchick,"North Indian, Chinese, BBQ, Lebanese",650," Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",4.1,418,5883,https://www.zomato.com/ncr/wrapchick-sushant-lok,"Shop H 20, Sushant Shopping Arcade, Sushant Lok, Gurgaon",911244000000,28.46073201,77.07976632
Mealtime,North Indian,450," Gaur City 1, Greater Noida",4.1,384,8688,https://www.zomato.com/ncr/mealtime-gaur-city-1-greater-noida,"Avenue 6, Main Gate, Gaur City 1, Greater Noida",919971000000,28.612413,77.425124
The Big Bun,"Burger, Beverages, Fast Food",300," Rohini, New Delhi",4.1,354,2538,https://www.zomato.com/ncr/the-big-bun-1-rohini-new-delhi,"35, Balaji Plaza, Sector-8, Rohini, New Delhi",919211000000,28.70478586,77.12615982
Kathi Junction,"Rolls, Beverages",300," Sector 62, Noida",4.1,303,2661,https://www.zomato.com/ncr/kathi-junction-sector-62-noida,"Shop 9, Lower Ground Floor, Galaxy Business Park, Sector 62, Noida",919555000000,28.62452767,77.37044804
Ruchikaaram,"South Indian, North Indian",500," DLF Phase 3, Gurgaon",4.1,334,8696,https://www.zomato.com/ncr/ruchikaaram-dlf-phase-3,"Ground Floor, Retail Space, Rapid Metro Station, DLF Phase 3, Gurgaon",918010000000,28.49418623,77.09397096
Pizza Xpress,"Pizza, Fast Food",500," Uttam Nagar, New Delhi",4.1,348,524,https://www.zomato.com/ncr/pizza-xpress-uttam-nagar-new-delhi,"E 3, Near Pali Factory, East Uttam Nagar, Uttam Nagar, New Delhi",919651000000,28.61960542,77.06636902
2 Dollar Cafe,"Chinese, North Indian, Salad, Sandwich, Burger, Rolls, Beverages",400," Gaur City 2, Greater Noida",4.1,236,2606,https://www.zomato.com/ncr/2-dollar-cafe-gaur-city-2-greater-noida,"Shop 7, 1st Floor, Bhavishya Tower, Gaur City 2, Greater Noida",919999000000,28.61828807,77.42703963
P:YO - The Micro Juicery,"Beverages, Juices, Healthy Food",400," Sector 54, Gurgaon",4.1,134,215,https://www.zomato.com/ncr/pyo-the-micro-juicery-sector-54,"Shop 2, Ground Floor, Vipul Plaza, Sector 54, Gurgaon",911245000000,28.43469979,77.10605063
Vintage Kitchen,"Continental, Beverages, Italian, Desserts",850," DLF Phase 1, Gurgaon",4.1,135,316,https://www.zomato.com/ncr/vintage-kitchen-dlf-phase-1,"DLF Phase 1, Gurgaon",919991000000,28.470613,77.0944
